Contact Name,Company Name,Email,Website,Description,Products Requested,Language Spoken,,Country
Gerente General,Procesadora Ganadera Entrerriana S.A.,info@progesa.com.ar,www.progesa.com.ar,Procesadora de ganado en Entre Ríos. Exportadora de carne vacuna.,,Español,,Argentina
Director Comercial,Carnes Naturales de La Pampa,info@frigosantaisabel.com.ar,www.carnadevlp.com.ar,Productor de carne natural de La Pampa. Ubicado en Santa Isabel.,,Español,,Argentina
Gerente General,Industrias Cárnicas San Miguel S.A.,industriascarnicassanmiguel@gmail.com,www.carnessanmiguel.com.ar,"Frigorífico en General Acha, La Pampa. Producción de carne vacuna.",,Español,,Argentina
Gerente Comercial,Frigorífico Trenel S.A.,info@frigopico.com,www.frigotrenel.com.ar,"Planta frigorífica en Trenel, La Pampa. Habilitación para exportación.",,Español,,Argentina
Director Comercial,Edgar A. Ciribé S.A.,info@ciribe.com.ar,www.ciriobe.com.ar,Frigorífico exportador de carne vacuna. Certificaciones internacionales de calidad.,,Español,,Argentina
Roberto Mengani - Director Exportaciones,Frigolar S.A.,comex@frigolar.com.ar,www.frigolar.com.ar,Empresa familiar con más de 50 años en La Plata. Productores ganaderos e industriales de carne argentina.,,Español,,Argentina
Gerente Comercial,Frigorífico Avila,avilafrigorifico@gmail.com,www.frigorificoavila.com,"Frigorífico en CABA especializado en venta mayorista de carne vacuna, porcina y aves.",,English,,USA
Francisco Bianchi - Propietario,La Julia Organics,franciscobianchi60@gmail.com,www.lajuliaorganics.com,"Productor de carne orgánica certificada en General Las Heras, Buenos Aires. Más de 20 años de trayectoria.",,English,,USA
Gerente de Ventas,Grupo Romeo S.A.,ventas@gruporomeo.com.ar,www.gruporomeo.com.ar,Productor y exportador de carne premium con certificaciones BRC y HACCP. Enfoque en sustentabilidad.,,Español,,Argentina
Director Comercial,Frigorífico Bermejo S.A.,ventas@fbsa.com.ar,www.frigorificobermejo.com.ar,"Principal frigorífico del norte argentino. Planta industrial en Pichanal, Salta.",,Español,,Argentina
Jose Omar Solasi - Socio Gerente,Vicentin Faenas S.R.L.,viande@ecocarnes.com,www.vicentinsaicf.com.ar,"Matadero y frigorífico en Villa Ocampo, Santa Fe. Parte del grupo Vicentin.",,Español,,Argentina
Director General,Frigorífico SADA,info@sada.com.ar,www.frigorificosada.com.ar,Frigorífico en San Antonio de Areco. Ciclo completo desde cría hasta distribución.,,Español,,Argentina
Gerente Comercial,Frigorífico San Antonio,ventas@frigsanantonio.com.ar,www.frigsanantonio.com.ar,Especializado en faena de corderos y lechones. Provincia de Buenos Aires.,,Español,,Argentina
Gerente Comercial,Carnes J Mendoza SAC,info@carnesjmendoza.com,www.carnesjmendoza.com,Más de 30 años comercializando carnes especiales en Mendoza. Clientes hotelería y gastronomía.,,English,,USA
Gerente General,Frigorífico San Juan,info@frigorificosj.com.ar,www.frigorifico sj.com.ar,Fundado en 1930. Servicios de cámaras y túneles de enfriamiento en San Juan.,,Español,,Argentina
Director Comercial,Secretos del Monte,info@secretosdelmonte.com,www.secretosdelmonte.com,"Productor familiar de jamones y carnes ahumadas en San Rafael, Mendoza.",,English,,USA
Gerente Administración,Frigorífico Aconcagua,contacto@friacon.com,www.friacon.com,80 años de trayectoria en almacenamiento frigorífico en Mendoza. Altos estándares de calidad.,,English,,USA
Director General,Matadero y Frigorífico Arenales CIACSA,info@ciacsa.com.ar,www.ciacsa.com.ar,Frigorífico en provincia de Buenos Aires. Faena y procesamiento de ganado bovino.,,Español,,Argentina
Gerente Comercial,Matadero Olivera S.A.,ventas@mataderoolivera.com.ar,www.mataderoolivera.com.ar,Establecimiento faenador en Buenos Aires con larga trayectoria. Mercado interno.,,Español,,Argentina
Director Comercial,Frigorífico Regional Vildoza S.A.,info@vildoza.com.ar,www.vildoza.com.ar,Frigorífico regional en Buenos Aires. Procesamiento y comercialización de carne.,,Español,,Argentina
Gerente General,Planta Faenadora Bancalari S.A.,contacto@bancalari.com.ar,www.bancalari.com.ar,Planta de faena en Buenos Aires. Servicios de matadero y frigorífico.,,Español,,Argentina
Gerente Comercial,Mirasur S.A.,ventas@mirasur.com.ar,www.mirasur.com.ar,Frigorífico en provincia de Buenos Aires. Producción y distribución de cortes vacunos.,,Español,,Argentina
Director Comercial,Industria Frigorífica Lobos S.A.,info@frigolobos.com.ar,www.frigolobos.com.ar,"Frigorífico en Lobos, Buenos Aires. Faena y procesamiento de ganado.",,Español,,Argentina
Gerente General,Frigorífico y Matadero Chivilcoy S.A.,info@frigochiv.com.ar,www.frigochiv.com.ar,"Planta frigorífica en Parque Industrial de Chivilcoy, Buenos Aires.",,Español,,Argentina
Director General,Establecimiento Faenador del Salado S.A.,contacto@elsalado.com.ar,www.faenadorelsalado.com.ar,Establecimiento de faena en provincia de Buenos Aires. Mercado regional.,,Español,,Argentina
Gerente Comercial,Frigorífico Cañuelas Carnes S.R.L.,ventas@canuelascarnes.com.ar,www.canuelascarnes.com.ar,"Frigorífico en Cañuelas, Buenos Aires. Especializado en cortes frescos.",,Español,,Argentina
Director Comercial,Establecimiento Frigorífico Azul S.A. (EFASA),info@efasa.com.ar,www.efasa.com.ar,"Frigorífico exportador en Azul, Buenos Aires. Habilitación para mercados internacionales.",,Español,,Argentina
Gerente de Ventas,Frigorífico Argentina Alimentos S.A.,ventas@argalimentos.com.ar,www.argalimentos.com.ar,Procesador y comercializador de productos cárnicos. Buenos Aires.,,Español,,Argentina
Director Comercial,Frigorífico Bolívar S.A.,info@frigobolivar.com.ar,www.frigobolivar.com.ar,"Frigorífico en Bolívar, Buenos Aires. Faena de ganado bovino.",,Español,,Argentina
Gerente General,Frigorífico Cordial S.R.L.,contacto@frigocordial.com.ar,www.frigocordial.com.ar,Frigorífico regional. Producción de carne para mercado interno.,,Español,,Argentina
Gerente Comercial,Concordia Carnes S.A.,ventas@concordiacarnes.com.ar,www.concordiacarnes.com.ar,"Frigorífico en Concordia, Entre Ríos. Procesamiento de carne vacuna.",,Español,,Argentina
Presidente,Cooperativa de Trabajo Frigorífico Bragado Ltda.,info@coopbragado.com.ar,www.coopbragado.com.ar,"Cooperativa de trabajadores. Frigorífico en Bragado, Buenos Aires.",,Español,,Argentina
Gerente General,Cooperativa Ganadera Limitada Manuel Gregoret,cooperativa@gregoret.com.ar,www.manuelgregoret.com.ar,Cooperativa de productores ganaderos. Faena y comercialización.,,Español,,Argentina
Director Comercial,Finlar S.A.,info@finlar.com.ar,www.finlar.com.ar,Frigorífico exportador de carne vacuna. Habilitaciones internacionales.,,Español,,Argentina
Gerente de Ventas,Los Valientes S.R.L.,ventas@losvalientes.com.ar,www.losvalientes.com.ar,Frigorífico regional. Producción de carne para mercado interno y exportación.,,Español,,Argentina
Director General,Matadero y Frigorífico Merlo S.A.,info@frigomerlo.com.ar,www.frigomerlo.com.ar,"Establecimiento de faena en Merlo, Buenos Aires.",,Español,,Argentina
Gerente Comercial,Los Leones Agropecuaria S.A.,comercial@losleones.com.ar,www.losleones.com.ar,Empresa agropecuaria con frigorífico propio. Producción integrada.,,Español,,Argentina
Director Comercial,Pacag S.A.,ventas@pacag.com.ar,www.pacag.com.ar,Frigorífico exportador. Procesamiento de carne vacuna de calidad.,,Español,,Argentina
Gerente General,Agrotres S.A.,info@agrotres.com.ar,www.agrotres.com.ar,Empresa agropecuaria con planta de faena. Buenos Aires.,,Español,,Argentina
Gerente General,Matadero Municipal Luis Beltrán S.E.,contacto@luisbeltran.gob.ar,www.mmlb.gob.ar,Matadero municipal en Río Negro. Servicio público de faena.,,Español,,Argentina
Director Comercial,Cundir S.A.,ventas@cundir.com.ar,www.cundir.com.ar,Frigorífico en provincia de Buenos Aires. Mercado interno.,,Español,,Argentina
Gerente Comercial,Agropecuaria Transur S.A.,comercial@transur.com.ar,www.transur.com.ar,Empresa agropecuaria con frigorífico. Producción y distribución de carne.,,Español,,Argentina
Director General,La Puna S.R.L.,info@lapunasrl.com.ar,www.lapunasrl.com.ar,Frigorífico en región norte. Especializado en carne de calidad.,,Español,,Argentina
Gerente de Ventas,Frigorífico Alsina S.A.,ventas@frigoalsina.com.ar,www.frigoalsina.com.ar,"Frigorífico en Alsina, Buenos Aires. Faena y procesamiento.",,Español,,Argentina
Director Comercial,La Muralla China S.A.,export@lamurallachina.com.ar,www.lamurallachina.com.ar,Frigorífico exportador con foco en mercado asiático.,,Español,,Argentina
Gerente General,Matadero Frigorífico Don Raúl S.A.,info@donraul.com.ar,www.donraul.com.ar,Matadero y frigorífico familiar. Buenos Aires.,,Español,,Argentina
Director Comercial,Matadero Frigorífico San Rafael S.A.,ventas@frigosanrafael.com.ar,www.frigosanrafael.com.ar,"Frigorífico en San Rafael, Mendoza. Producción regional.",,Español,,Argentina
Gerente Comercial,Supercarne S.A.,ventas@supercarne.com.ar,www.supercarne.com.ar,Frigorífico y comercializador de carne. Mercado interno.,,Español,,Argentina
Director General,San Isidro S.A.,contacto@sanisidro.com.ar,www.sanisidro.com.ar,Frigorífico en provincia de Buenos Aires. Faena y distribución.,,Español,,Argentina
Gerente Comercial,El Nono S.R.L.,info@elnono.com.ar,www.elnono.com.ar,Frigorífico familiar. Producción de carne para consumo regional.,,Español,,Argentina
Director Comercial,Fri-Nea S.R.L.,ventas@frinea.com.ar,www.frinea.com.ar,Frigorífico en región Noreste. Procesamiento de ganado bovino.,,Español,,Argentina
Gerente de Ventas,El Hueco S.A.,comercial@elhueco.com.ar,www.elhueco.com.ar,Frigorífico regional. Faena y comercialización de carne.,,Español,,Argentina
Director Comercial,Distrimeat S.A.,info@distrimeat.com.ar,www.distrimeat.com.ar,Distribuidor y procesador de carne. Cobertura nacional.,,Español,,Argentina
Gerente General,Sudeste S.A.,ventas@sudeste.com.ar,www.sudeste.com.ar,Frigorífico en región sudeste. Producción de carne vacuna.,,Español,,Argentina
Director Comercial,Guay Meat S.A.,export@guaymeat.com.ar,www.guaymeat.com.ar,Frigorífico exportador. Especializado en cortes premium para exportación.,,Español,,Argentina
Gerente General,Granja Tres Arroyos (GTA),info@gta.com.ar,www.gta.com.ar,Principal productor avícola de Argentina. Exporta 35% de producción a 60 países. Capital Federal.,,Español,,Argentina
Gerente Comercio Exterior,Indavisa S.A.,comercio.exterior@indavisa.com.ar,www.indavisa.com.ar,"Empresa avícola integrada con más de 50 años. Hernandarias, Entre Ríos.",,Español,,Argentina
Gerente Exportaciones,Avex S.A.,info@avex.com.ar,www.avexsa.com,"Exportador líder de pollo congelado. Planta de procesamiento en Río Cuarto, Córdoba.",,Español,,Argentina
Director Comercial,Avícola Santa Bárbara,ventas@avicolasantabarbara.com.ar,www.avicolasantabarbara.com.ar,Productor avícola integrado. Producción y comercialización,,Español,,Argentina
No,"de pollo.""",,,,,English,,USA
Gerente General,Criar S.R.L.,contacto@criarsrl.com,www.criarsrl.com,Frigorífico avícola. Procesamiento y distribución de productos avícolas.,,English,,USA
Gerente Comercial,Domvil S.A.,info@domvil.com.ar,www.domvil.com.ar,Productor y procesador de aves. Especializado en mercado interno.,,Español,,Argentina
Director Comercial,Frigorífico Avícola Basavilbaso S.A.,info@sedeamericana.com.ar,www.sedeamericana.com.ar,"Frigorífico avícola en Basavilbaso, Entre Ríos. Procesamiento y distribución.",,Español,,Argentina
Gerente de Ventas,Bonnin Hnos. S.A.,info@bonninhnos.com.ar,www.bonninhnos.com.ar,Empresa familiar avícola. Producción integrada de pollos.,,Español,,Argentina
Marcelo Perassi - Gerente,Compañía Avícola S.A.,marcelo.perassi@grupocem.com.ar,www.grupocem.com.ar,Parte del Grupo CEM. Producción avícola a gran escala.,,Español,,Argentina
Director General,Avícola Olmo,info@avicolaolmo.com.ar,www.avicolaolmo.com,Productor avícola regional. Especializado en pollos frescos.,,Español,,Argentina
Gerente Comercial,Alibue S.A.,info@alibue.com.ar,www.alibue.com.ar,Frigorífico avícola. Procesamiento y comercialización.,,Español,,Argentina
Director Comercial,Granja Carnave S.A.,info@carnave.com.ar,www.carnave.com.ar,Granja avícola integrada. Producción de pollos parrilleros.,,Español,,Argentina
Gerente General,Frigorífico Mark S.A.,info@frigorificomark.com,www.frigorificomark.com,Procesador de aves. Especializado en productos congelados.,,English,,USA
Gerente Cooperativa,Unión Agrícola Avellaneda Coop. Ltda.,ppa@uaa.com.ar,www.uaa.com.ar,Cooperativa agrícola con producción avícola. Provincia de Buenos Aires.,,Español,,Argentina
Gerente de Ventas,Cerdo de los Llanos SAPEM,ventas@cerdodelosllanoslr.com,www.cerdodelosllanos.com.ar,"Líder en producción porcina. Granja principal en Chepes, La Rioja. Una de las 12 más grandes del país.",,Español,,Argentina
Director General,Isowean S.A.,contacto@isowean.com.ar,www.isowean.com.ar,"Granja porcina más grande de Argentina con 13,000 madres. Monte Buey, Córdoba.",,Español,,Argentina
Gerente Comercial,Ceryvac S.A.,ventas@ceryvac.com.ar,www.ceryvac.com.ar,"Tercer productor de carne porcina. Planta en Virrey del Pino, Buenos Aires. 221,351 cabezas/año.",,Español,,Argentina
Director Comercial,Alimentaria La Pompeya,info@lapompeya.com.ar,www.lapompeya.com.ar,"Segundo productor porcino de Argentina. 310,720 animales faenados en 2023.",,Español,,Argentina
Gerente de Ventas,Carnes Porcinas Seleccionadas - Cabaña Argentina,ventas@cabanaargentina.com.ar,www.cabanaargentina.com.ar,Productor de carne porcina premium. Marca reconocida en el mercado.,,Español,,Argentina
Director Comercial,La Piamontesa,info@lapiamontesa.com.ar,www.lapiamontesa.com.ar,Productor porcino de calidad. Tradición italiana en Argentina.,,Español,,Argentina
Gerente General,Campo Austral,ventas@campoaustral.com.ar,www.campoaustral.com.ar,Productor de carne porcina patagónica. Calidad premium.,,Español,,Argentina
Director Comercial,INC Sociedad Anónima,comercial@incsa.com.ar,www.incsa.com.ar,Productor porcino integrado. Entre los 10 principales del país.,,Español,,Argentina
Gerente de Producción,Establecimiento Porcal,info@porcal.com.ar,www.porcal.com.ar,Primera granja con certificado de bienestar animal porcino en Argentina.,,Español,,Argentina
Director de Granja,Cabaña Santa Rita,contacto@cabsantarita.com.ar,www.cabsantarita.com.ar,Granja porcina con +800 madres. Tecnología RFID. Tratamiento sustentable.,,Español,,Argentina
Gerente Comercial,Gestión Porcina,info@gestionporcina.com.ar,www.gestionporcina.com.ar,Servicio integral a productores de cerdos. Córdoba. Comercialización de semen y productos veterinarios.,,Español,,Argentina
Director General,SR Frigorífico S.R.L.,info@srfrigorifico.com.ar,www.srfrigorifico.com.ar,Frigorífico en Neuquén Capital. Fundado en 1997. Proveedor regional consolidado.,,Español,,Argentina
Gerente Comercial,Frigoríficos Catriel,frigorificocatriel@hotmail.com,www.frigocatriel.com.ar,"Frigorífico en Catriel, Neuquén. Procesamiento de carne vacuna.",,Español,,Argentina
Director General,Frigorífico Centenario S.A.,info@frigocent.com.ar,www.frigocent.com.ar,"Frigorífico en Colonia Centenario, Neuquén. Faena bovina.",,Español,,Argentina
Gerente General,Fridevi S.A.,info@fridevi.com.ar,www.fridevi.com.ar,"Frigorífico exportador en Viedma, Río Negro. Habilitación para múltiples mercados.",,Español,,Argentina
Presidente Cooperativa,Cooperativa de Trabajo Frigorífico J.J. Gómez Ltda.,info@frigojjgomez.com.ar,www.frigojjgomez.com.ar,"Cooperativa de trabajo en General Roca, Río Negro. Faena bovina.",,Español,,Argentina
Gerente Comercial,Frigorífico Río Negro - FRIBEBA S.A.,ventas@fribeba.com.ar,www.fribeba.com.ar,Frigorífico en San Carlos de Bariloche. Producción patagónica.,,Español,,Argentina
Director Comercial,Frigorífico Allen Frut SRL,info@allenfrut.com.ar,www.allenfrut.com.ar,"Frigorífico en Allen, Río Negro. Procesamiento de carne regional.",,Español,,Argentina
Gerente General,Frigorífico Cervantes S.A.,contacto@frigocervantes.com.ar,www.frigocervantes.com.ar,"Frigorífico en Cervantes, Río Negro. Faena y distribución.",,Español,,Argentina
Director Comercial,Frigorífico Gaiman S.R.L.,frigorificogaiman@hotmail.com,www.frigorificogaiman.com,"Produce carne vacuna, porcina y ovina. Gaiman, Chubut.",,English,,USA
Gerente General,Matadero Brunt SRL,info@brunt.com.ar,www.brunt.com.ar,"Matadero en Gaiman, Chubut. Servicios de faena regional.",,Español,,Argentina
Gerente de Ventas,Frigorífico Trelew,ventas@frigotrelew.com.ar,www.frigotrelew.com.ar,"Venta de carne vacuna, pollo y cerdo. Trelew, Chubut.",,Español,,Argentina
Director Exportaciones,Frigorífico Puerto Madryn S.A.,fpmadryn@fpmadryn.com,www.fpmadryn.com,Frigorífico de exportación especializado en corderos patagónicos. Puerto Madryn.,,English,,USA
Gerente Comercial,Frigorífico Hermoso,ventas@frigohermoso.com.ar,www.frigohermoso.com.ar,"Frigorífico en Comodoro Rivadavia, Chubut. Carne patagónica.",,Español,,Argentina
Director General,Frigorífico Arroyo,info@frigoarroyo.com.ar,www.frigoarroyo.com.ar,Frigorífico en Puerto Madryn. Procesamiento de carne regional.,,Español,,Argentina
Marcelo Camiletti - Apoderado,Frigorífico Formosa,info@frigoformosa.com.ar,www.frigoformosa.com.ar,Planta frigorífica en Parque Industrial de Formosa. Habilitación federal.,,Español,,Argentina
Gerente General,Frigorífico La Rural SRL,contacto@frigorural.com.ar,www.frigorural.com.ar,Frigorífico en Formosa. Procesamiento de ganado bovino.,,Español,,Argentina
Director Comercial,Frigorífico Norte SRL,ventas@frigonorte.com.ar,www.frigonorte.com.ar,Frigorífico en Formosa. Faena y distribución regional.,,Español,,Argentina
Propietario,Guglielmone Julio Cesar,info@guglielmone.com.ar,www.guglielmone.com.ar,Frigorífico familiar en Formosa. Producción artesanal.,,Español,,Argentina
Gerente de Ventas,Frigorífico Don Silvio,ventas@donsilvio.com.ar,www.donsilvio.com.ar,Distribuidor mayorista y minorista. Gran Buenos Aires y CABA. Carne vacuna y cerdo premium.,,Español,,Argentina
Director Comercial,Frigorífico 25 de Mayo,ventas@frigorifico25mayo.com.ar,www.frigorifico25demayo.com.ar,"Mayorista de carne vacuna, cerdo y pollo. Avellaneda, Buenos Aires.",,Español,,Argentina
Gerente de Ventas,Distribuidora LA,ventas@distribuidorala.com.ar,www.distribuidorala.com.ar,"Distribuidor de carne, cerdo, avícola y prefritos. Ramos Mejía, Buenos Aires.",,Español,,Argentina
Director General,Frigorífico Orona S.A.,info@orona.com.ar,www.orona.com.ar,Frigorífico regional. Faena y procesamiento de ganado.,,Español,,Argentina
Gerente Comercial,Alba y Co S.A.,comercial@albayco.com.ar,www.albayco.com.ar,Frigorífico exportador. Habilitación para mercados internacionales.,,Español,,Argentina
Presidente,Cooperativa Villa Angela - FRIVA,info@friva.com.ar,www.friva.com.ar,"Cooperativa de productores ganaderos. Frigorífico en Villa Angela, Chaco.",,Español,,Argentina
Gerente Cooperativa,Cooperativa de Trabajo La Foresta Ltda.,contacto@laforesta.com.ar,www.cooplaforesta.com.ar,Cooperativa de trabajo frigorífico. Buenos Aires.,,Español,,Argentina
Presidente,Cooperativa de Trabajo y Consumo Unidos Ltda.,info@coopunidos.com.ar,www.coopunidos.com.ar,Cooperativa frigorífica en Chaco. Gestión cooperativa.,,Español,,Argentina
Gerente General,Cooperativa de Trabajo Puerto Vilelas Ltda.,contacto@puertovilelas.com.ar,www.cooppuertovilelas.com.ar,"Cooperativa de trabajo. Puerto Vilelas, Chaco.",,Español,,Argentina
Director Cooperativa,Cooperativa de Trabajo La Unión Ltda.,info@launion.com.ar,www.cooplaunion.com.ar,Cooperativa frigorífica. Producción cooperativa en Chaco.,,Español,,Argentina
Gerente Comercial,Agroservice S.A.,ventas@agroservice.com.ar,www.agroservice.com.ar,Empresa agropecuaria con servicios de faena. Buenos Aires.,,Español,,Argentina
Director Comercial,Pampa Compañía de Carnes,comercial@pampacarnes.com.ar,www.pampacarnes.com.ar,Compañía productora de carne pampeana. Integración vertical.,,Español,,Argentina
Gerente General,Frigorífico Regional General Las Heras S.A.,info@frigolasheras.com.ar,www.frigolasheras.com.ar,Frigorífico regional en Buenos Aires. Faena y procesamiento.,,Español,,Argentina
Director Comercial,Procesadora Ganadera Entrerriana S.A. (PROGESA),exportaciones@progesa.com.ar,www.progesa.com.ar,Procesadora de ganado en Entre Ríos. Exportación de carne vacuna.,,Español,,Argentina
Gerente de Ventas,Frigorífico Maneca S.A.,ventas@maneca.com.ar,www.maneca.com.ar,Frigorífico exportador. Participación en Cuota Hilton.,,Español,,Argentina
Director General,Guaicos S.A.I.C.I.F.,info@guaicos.com.ar,www.guaicos.com.ar,Frigorífico exportador de carne vacuna. Habilitaciones internacionales.,,Español,,Argentina
Gerente Comercial,Catter Meat S.A.,comercial@cattermeat.com.ar,www.cattermeat.com.ar,Frigorífico especializado en cortes premium para exportación.,,Español,,Argentina
Gerente General,Frigorífico EliMax,info@elimax.com.ar,www.elimax.com.ar,"Frigorífico inaugurado en 2025. Parque Industrial Trelew, Chubut. Carne envasada.",,Español,,Argentina
Director Comercial,Frigorífico Lusiana,ventas@lusiana.com.ar,www.lusiana.com.ar,"Frigorífico en Zapala, Neuquén. Producción regional.",,Español,,Argentina
Gerente de Producción,Frigorífico Andino,info@frigoandino.com.ar,www.frigoandino.com.ar,"Frigorífico en Junín de los Andes, Neuquén. Carne de montaña.",,Español,,Argentina
Gerente Comercial,Frigorífico Sur Argentino Mayorista,mayorista@surargentino.com.ar,www.surargentino.com.ar,Distribuidor mayorista en Neuquén. Carne patagónica.,,Español,,Argentina
Director,Matadero Municipal Apolinario Saravia,matadero@saravia.gob.ar,www.munisaravia.gob.ar,Matadero municipal en Salta. Servicio público de faena.,,Español,,Argentina
Gerente,Matadero Municipal El Quebrachal,matadero@quebrachal.gob.ar,www.elquebrachal.gob.ar,"Matadero municipal. Unidad Ejecutora Municipal, Salta.",,Español,,Argentina
Director Ejecutivo,Ente Frigorífico Chicoana,frigorifico@chicoana.gob.ar,www.chicoana.gob.ar,"Ente municipal en Chicoana, Salta. Servicios frigoríficos.",,Español,,Argentina
Responsable Técnico,Matadero Municipal Aluminé,matadero@alumine.gob.ar,www.alumine.gob.ar,"Matadero municipal en Aluminé, Neuquén.",,Español,,Argentina
Director,Matadero Municipal Andacollo,matadero@andacollo.gob.ar,www.andacollo.gob.ar,"Matadero municipal en Andacollo, Neuquén.",,Español,,Argentina
Gerente,Matadero Municipal Chos Malal,matadero@chosmalal.gob.ar,www.chosmalal.gob.ar,"Matadero municipal en Chos Malal, Neuquén.",,Español,,Argentina
Responsable,Matadero Municipal Loncopué,matadero@loncopue.gob.ar,www.loncopue.gob.ar,"Matadero municipal en Loncopué, Neuquén.",,Español,,Argentina
Director,Matadero Municipal Zapala,matadero@zapala.gob.ar,www.zapala.gob.ar,"Matadero municipal en Zapala, Neuquén.",,Español,,Argentina
Gerente,Matadero Municipal Valcheta,matadero@valcheta.gob.ar,www.valcheta.gob.ar,"Matadero municipal en Valcheta, Río Negro.",,Español,,Argentina
Jorge - Gerente,Carnes Vireyes,jrn@carnesvireyes.com.ar,www.carnesvireyes.com.ar,Productor de carne premium. Miembro APEA (Asociación Productores Exportadores).,,Español,,Argentina
Jorge Romero - Director,Urien Loza S.A.,jorgeromero@urienloza.com.ar,www.urienloza.com.ar,Productor y exportador de carne. Miembro APEA.,,Español,,Argentina
Gerente Exportaciones,Aliarg S.A. - Argentine Beef,info@carnehereford.com.ar,www.argentinebeef.com.ar,Productor de carne Hereford certificada. Exportador especializado.,,Español,,Argentina
Sebastián Colombini - Gerente,Malefu Agropecuaria S.R.L.,sebastiancolombini@malefu.com.ar,www.malefu.com.ar,Empresa agropecuaria con producción de carne. Miembro APEA.,,Español,,Argentina
Miguel Irigoyen - Director,Panoa S.R.L.,mirigoyen@panoa.com.ar,www.panoa.com.ar,Productor ganadero y exportador. Sistema de producción sustentable.,,Español,,Argentina
Responsable Técnico,Productores de Limangus Argentinos,limangusproliar@speedy.com.ar,www.limangus.com.ar,Asociación de productores de raza Limangus. Carne de calidad genética.,,Español,,Argentina
Gerente General,Frigorífico Estancia Montalvo,info@montalvo.com.ar,www.estanciamontalvo.com.ar,Estancia con frigorífico propio. Producción integrada de carne premium.,,Español,,Argentina
Director Comercial,Frigorífico La Foresta,ventas@laforesta.com.ar,www.laforesta.com.ar,Frigorífico regional en Buenos Aires. Faena y distribución.,,Español,,Argentina
Gerente de Ventas,Frigorífico Los Toldos,comercial@frigolostoldos.com.ar,www.frigolostoldos.com.ar,"Frigorífico en Los Toldos, Buenos Aires. Producción regional.",,Español,,Argentina
Director General,Frigorífico Tandil,info@frigotandil.com.ar,www.frigotandil.com.ar,"Frigorífico en Tandil, Buenos Aires. Carne de la sierra.",,Español,,Argentina
Gerente de Sucursal,Frigolar Villa Elvira,villaelvira@frigolar.com.ar,www.frigolar.com.ar,"Sucursal de Frigolar en Villa Elvira, La Plata. Distribución local.",,Español,,Argentina
Gerente Comercial,Caryder S.A.C.,ventas@caryder.com,www.carydersac.com,"Proveedor mayorista. Carne fresca de res, cerdo y aves. Productos procesados.",,English,,USA
Director General,Granja El Paisanito,info@elpaisanito.com.ar,www.granjaelpaisanito.com.ar,"Carnes de pollo, cerdo y vaca. Tres locales en Moreno, Buenos Aires.",,Español,,Argentina
Gerente de Ventas,La Señalada Carnes,ventas@lasenalada.com,www.lasenalada.com,"Venta mayorista de carne vacuna. Media res, parrillero y mocho.",,English,,USA
Director Comercial,Lizman S.A.,ventas@lizman.com.ar,www.lizman.com.ar,"Venta mayorista de pollos, cerdos y rebozados. Distribuidor integrado.",,Español,,Argentina
Gerente General,Mercado Agroganadero S.A.,info@magargentina.com,www.magargentina.com,Centro de comercialización de ganado y carne. Buenos Aires.,,English,,USA
Gerente Comercial,Frigorífico Coronado,ventas@frigocoronado.com.ar,www.frigocoronado.com.ar,Frigorífico regional. Faena y procesamiento de ganado bovino.,,Español,,Argentina
Director General,Frisar Sociedad Anónima,info@frisar.com.ar,www.frisar.com.ar,Frigorífico integrado. Producción y comercialización de carne.,,Español,,Argentina
Gerente de Estancia,Establecimiento Ganadero El Turbio,contacto@elturbio.com.ar,www.elturbio.com.ar,Estancia ganadera con producción de carne. Sistema pastoril.,,Español,,Argentina
Director Comercial,Frigorífico Regional La Matanza,comercial@frigolamatanza.com.ar,www.frigolamatanza.com.ar,"Frigorífico en La Matanza, Buenos Aires. Mercado metropolitano.",,Español,,Argentina
Gerente General,Frigorífico San Luis,info@frigosanluis.com.ar,www.frigosanluis.com.ar,Frigorífico en San Luis. Producción regional de carne vacuna.,,Español,,Argentina
Director Comercial,Frigorífico Río Cuarto,ventas@frigoriocuarto.com.ar,www.frigoriocuarto.com.ar,"Frigorífico en Río Cuarto, Córdoba. Una de las principales plantas de la región.",,Español,,Argentina
Gerente de Ventas,Frigorífico Bell Ville,comercial@frigobellville.com.ar,www.frigobellville.com.ar,"Frigorífico en Bell Ville, Córdoba. Faena y procesamiento.",,Español,,Argentina
Director General,Cárnica Moreno,info@carnicamoreno.com.ar,www.carnicamoreno.com.ar,"Distribuidor mayorista en Moreno, Buenos Aires. Carne vacuna y porcina.",,Español,,Argentina
Gerente Comercial,Frigorífico Villa María,ventas@frigovillamaria.com.ar,www.frigovillamaria.com.ar,"Frigorífico en Villa María, Córdoba. Carnes de primera calidad.",,Español,,Argentina
